系统/类别|应用名称|功能|URL Scheme
Windows系统设置||系统设置|ms-settings:
Windows系统设置|安装的应用|应用管理|ms-settings:appsfeatures
Windows系统设置|默认应用|默认应用设置|ms-settings:defaultapps
Windows系统设置|可选功能|可选功能设置|ms-settings:optionalfeatures
Windows系统设置|离线地图|离线地图设置|ms-settings:maps
Windows系统设置|蓝牙|蓝牙设置|ms-settings:bluetooth;ms-settings-bluetooth:
Windows系统设置|鼠标和触控板|鼠标和触控板设置|ms-settings:mousetouchpad
Windows系统设置|打印机和扫描仪|打印机和扫描仪设置|ms-settings:printers
Windows系统设置|移动设备|移动设备设置|ms-settings:mobile-devices
Windows系统设置|网络和Internet|网络状态|ms-settings:network-status
Windows系统设置|飞行模式|飞行模式设置|ms-settings:network-airplanemode;ms-settings-airplanemode:
Windows系统设置|高级网络设置|高级网络设置|ms-settings:network-advancedsettings
Windows系统设置|以太网|以太网设置|ms-settings:network-ethernet
Windows系统设置|WLAN|WLAN设置|ms-settings:network-wifi;ms-settings-wifi:
Windows系统设置|移动热点|移动热点设置|ms-settings:network-mobilehotspot;ms-settings-mobilehotspot:
Windows系统设置|管理已知网络|管理已知网络设置|ms-settings:network-wifisettings
Windows系统设置|代理|代理设置|ms-settings:network-proxy
Windows系统设置|个性化|个性化设置（类别）|ms-settings:personalization
Windows系统设置|个性化|背景设置|ms-settings:personalization-background
Windows系统设置|锁屏界面|锁屏界面设置|ms-settings:lockscreen;ms-settings-lock:
Windows系统设置|个性化|开始菜单设置|ms-settings:personalization-start
Windows系统设置|任务栏|任务栏设置|ms-settings:taskbar
Windows系统设置|个性化|主题设置|ms-settings:themes
Windows系统设置|系统|系统信息|ms-settings:about
Windows系统设置|系统|通知和操作设置|ms-settings-notifications:
Windows系统设置|系统|电源设置|ms-settings-power:
Windows系统设置|系统|屏幕设置|ms-settings:display;ms-settings:screenrotation
Windows系统设置|系统|多任务处理设置|ms-settings:multitasking
Windows系统设置|账户|账户信息|ms-settings:yourinfo
Windows系统设置|账户|电子邮件和账户|ms-settings-emailandaccounts:
